PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes
391,"SHR","4,20,26. 6,27-28","Leintwardine","Adley",,,"SO3774",
396,"YKS","17W1. SW,St2","Staincross","Adlingfleet","West Riding",,"SE8421",
401,"CHS","1,26","{Hamestan}","Adlington",,,"SJ9180",
406,"GLS","11,11","{Celfledetorn}","Admington",,,"SP1945",
411,"WAR","EG4","{Celfledetorn}","Admington",,,"SP1945",
416,"SOM","25,3","North Petherton","Adsborough",,,"ST2729",
421,"BUK","16,8","`Mow'","Adstock",,,"SP7330",
426,"NTH","1,6. 17,1. 18,73","Foxley","Adstone",,,"SP5951",
431,"OXF","35,21","Lewknor","Adwell",,,"SU6999",
436,"YKS","5W31. 10W39(-40). SW,O2","`Osgodcross'","Adwick [le Street]","West Riding",,"SE5408",
441,"YKS","5W30. SW,Sf9 note;34","Strafforth","Adwick [le Street]","West Riding",,"SE5408",
446,"YKS","10W14. SW,Sf9 and note","Strafforth","Adwick [upon Dearne]","West Riding",,"SE4701",
451,"DEV","34,42","Witheridge","Adworthy",,,"SS7715",
456,"KEN","5,176","`Langport'","{Afettune}","Lympne",,,"unknown"
461,"DOR","28,6-7. 37,7. 41,1. 57,20","Ailwood","Afflington",,,"SY9780",
466,"DOR","11,5","Bere [Regis]","Affpuddle",,,"SY8093",
471,"DEV","34,49","Kerswell","Afton",,,"SX8462",
476,"HAM","IoW1,3","Bowcombe","Afton","Isle of Wight",,"SZ3586",
481,"STS","10,4","Offlow","Agardsley",,,"SK1327",
486,"YKS","6N96. SN,CtA29","Land of Count Alan","Agglethorpe","North Riding",,"SE0886",
491,"KEN","9,47","Street","{Aia}","Lympne",,"TQ1535","speculative"
496,"YKS","1L1 and note. See also CHS Y2","Amounderness","Aighton","North Lancashire",,"SD6739","approximate"
501,"YKS","2B14. 5E33. SE,Sn4","{Sneculfcros}","Aike","East Riding",,"TA0445",
506,"LIN","2,20. 4,63","`Calcewath'","Ailby","Lindsey South Riding",,"TF4376",
511,"HEF","25,9","Elsdon","Ailey",,,"SO3448",
516,"WAR","40,1","`Tremlowe'","Ailstone",,,"SP2050",
521,"NTH","6,5. 6a,3","Upton","Ailsworth",,,"TL1199",
526,"DOR","56,58","Ailwood","Ailwood",,,"SY9981",
531,"YKS","6N52 and note;53. SN,CtA19-20","Land of Count Alan","Ainderby [Mires]","North Riding",,"SE2592",
536,"YKS","6N157. SN,CtA43","Land of Count Alan","Ainderby [Quernhow]","North Riding",,"SE3480",
541,"YKS","6N34. SN,CtA14","Land of Count Alan","Ainderby [Steeple]","North Riding",,"SE3392",
546,"YKS","1Y2. SN,A1","Allerton","Ainderby [Steeple]","North Riding",,"SE3392",
551,"CHS","R1,24","[West] Derby","Ainsdale","South Lancashire",,"SD3112",
556,"YKS","16W1. SW,BA9","Barkston","[Little] Airmyn","West Riding",,"SE7225",
561,"YKS","30W28","Craven","Airton","West Riding",,"SD9059",
566,"YKS","1N16. SN,L27","Langbaurgh","Airy [Holme]","North Riding",,"NZ5711",
571,"LIN","1,39;47","Corringham","Aisby","Lindsey West Riding",,"SK8792",
576,"LIN","26,47","`Threo'","Aisby","Kesteven",,"TF0138",
581,"SOM","21,31","Cannington","Aisholt",,,"ST1935",
586,"YKS","6N123. SN,CtA36","Land of Count Alan","Aiskew","North Riding",,"SE2788",
591,"YKS","1N53. SN,D18","{Dic}","Aislaby","North Riding",,"SE7785",
596,"YKS","5N9. SN,L10","Langbaurgh","Aislaby","North Riding",,"NZ8508",
601,"YKS","2W13 note. 13W21 and note. SW,Bu19","`Burghshire'","Aismunderby","West Riding",,"SE3068",
606,"LIN","24,7. 68,27(-28)","`Lawress'","Aisthorpe","Lindsey West Riding",,"SK9480",
611,"SHR","4,3,34","{Merset}","{Aitone}",,,,"unknown"
616,"BUK","14,26","`Stotfold'","Akeley",,,"SP7037",
621,"SUF","1,117. 8,68;71. 38,11. 41,5;16","Claydon","Akenham",,,"TM1448",
626,"SUF","1,56","`Lothingland'","Akethorpe",,,"TM5493",
631,"HEF","1,5;34","Leominster","{Alac}",,,,"unknown"
636,"HAM","IoW9,4","Bowcombe","{Alalei}","Isle of Wight",,"SZ5683","speculative"
641,"SHR","4,1,9","{Reweset}","Alberbury",,,"SJ3514",
646,"SHR","4,3,51;57","Baschurch","Albright [Hussey]",,,"SJ5017",
651,"SHR","3g,7","Wrockwardine","Albrightlee",,,"SJ5216",
656,"SHR","4,25,6","{Alnodestreu}","Albrighton",,,"SJ8104",
661,"SHR","4,3,71","Baschurch","Albrighton",,,"SJ4918",
666,"NFK","1,129;221. 4,48. 29,7","Earsham","Alburgh",,,"TM2787",
671,"SUF","ENf2","Earsham","Alburgh",,,"TM2787",
676,"HRT","4,11","`Edwinstree'","Albury",,,"TL4324",
681,"BRK","B3;8 note","Thame","Albury",,,"SP6505",
686,"OXF","59,22. EBe2","Thame","Albury",,,"SP6505",
691,"SUR","19,36","Blackheath","Albury",,,"TQ0447",
696,"NFK","9,87;174","South Erpingham","Alby",,,"TG1934",
701,"HEF","29,10","Stradel","{Alcamestune}",,,,"unknown"
706,"SHR","4,21,19","Leintwardine","Alcaston",,,"SO4587",
711,"SUS","2,1g","Rotherfield","`Alchin'","Pevensey",,"TQ5028","approximate"
716,"SUS","8,1. 9,63;65;81;99-100","{Wandelmestrei}","Alciston","Pevensey",,"TQ5005",
721,"NFK","9,68 note. 12,25 and note;26","`Lodding'","{Alcmuntona}",,,,"unknown"
726,"SOM","25,11","Carhampton","Alcombe",,,"SS9745",
731,"HUN","1,6. 5,2. 19,15;17-20. D22","`Leightonstone'","Alconbury",,,"TL1876",
736,"NFK","8,130. 9,87;146;151","North Erpingham","Aldborough",,,"TG1834",
741,"YKS","1Y18. 1W30. 21W3. 24W10. 25W27. 28W36. SW,Bu13","`Burghshire'","[Ald]borough","West Riding",,"SE4066",
746,"WIL","1,10","`Selkley'","Aldbourne",,,"SU2675",
751,"YKS","14E11. SE,Hol14","Holderness [Middle Hundred]","Aldbrough","East Riding",,"TA2438",
756,"YKS","6N13-14. SN,CtA10","Land of Count Alan","Aldbrough","North Riding",,"NZ2011",
761,"HRT","15,3","Tring","Aldbury",,,"SP9612",
766,"YKS","1L2. See also CHS Y3","Amounderness","Aldcliffe","North Lancashire",,"SD4660",
771,"SUF","6,130. 21,105","`Plomesgate'","Aldeburgh",,,"TM4656",
776,"NFK","20,36","`Clavering'","Aldeby",,,"TM4593",
781,"HRT","10,17","St Albans","Aldenham",,,"TL1400",
786,"HRT","9,4","`Danish'","Aldenham",,,"TQ1398",
791,"WIL","37,14. 68,33","Alderbury","Alderbury",,,"SU1826",
796,"ESS","23,11","`Hinckford'","Alderford",,,"TL7633",
801,"GLS","64,3","{Grimboldestou}","Alderley",,,"ST7690",
806,"CHS","14,6","{Hamestan}","[Nether] Alderley",,,"SJ8476",
811,"CHS","9,28","{Hamestan}","[Over] Alderley",,,"SJ8676",
816,"BRK","B5. 1,44-45","Reading","Aldermaston",,,"SU5965",
821,"WAR","EW5","Pershore","Alderminster",,,"SP2348",
826,"WOR","9,3","Pershore","Alderminster",,,"SP2348",
831,"WIL","67,35","`Frustfield'","Alderstone",,,"SU2424",
836,"GLS","1,43. 11,5","Tewkesbury","Alderton",,,"SP0033",
841,"NTH","18,9;91","Cleyley","Alderton",,,"SP7446",
846,"SUF","6,152;159;162;164;240. 21,77","Wilford","Alderton",,,"TM3441",
851,"WIL","41,9. 49,3","Dunley","Alderton",,,"ST8382",
856,"ESS","8,7","Ongar","Alderton [Hall]",,,"TQ4296",
861,"YKS","1W40. 2W8. 28W38. SW,Bu20","`Burghshire'","Aldfield","West Riding",,"SE2669",
866,"KEN","5,171","Bircholt","Aldglose","Wye",,"TR0844","approximate"
871,"ESS","18,24","Lexden","Aldham",,,"TL9125",
876,"SUF","1,105. 14,112. 35,6","Cosford","Aldham",,,"TM0444",
881,"SUS","3,3","Boxgrove","Aldingbourne","Chichester",,"SU9205",
886,"YKS","1L8. See also CHS Y9","Amounderness","Aldingham","North Lancashire",,"SD2871",
891,"KEN","2,23;25","Bircholt","Aldington","Lympne",,"TR0736",
896,"KEN","5,68","Eyhorne","Aldington","Aylesford",,"TQ8157",
901,"WOR","10,5","`Fishborough'","Aldington",,,"SP0644",
906,"SHR","7,6","{Culvestan}","Aldon",,,"SO4379",
911,"CHS","1,10","Ruloe","{Aldredelie}",,,"SJ5474","speculative"
916,"STS","12,24","Offlow","Aldridge",,,"SK0600",
921,"SUF","6,70;74","Bishop's","Aldringham",,,"TM4460",
926,"SUS","12,20(-21)","Aldrington","Aldrington","Lewes",,"TQ2705",
931,"GLS","3,4 note. 10,5. 78,11","Bibury","Aldsworth",,,"SP1510",
936,"YKS","5N70. SN,B26","`Bulford'","Aldwark","North Riding",,"SE4663",
941,"SOM","37,5","Hartcliffe","Aldwick",,,"ST4961",
946,"NTH","6a,27. 41,6","`Huxloe'","Aldwincle [All Saints and St Peter]",,,,
951,"BRK","63,1","`Nakedthorn'","Aldworth",,,"SU5579",
956,"NFK","1,16","`Gallow'","Alethorpe",,,"TF9431",
961,"SOM","25,4","Cannington","Aley",,,"ST1838",
966,"SUF","16,45. 36,5","Sandford","{Alfildestuna}",,,,"unknown"
971,"LIN","24,70. 66,2","`Calcewath'","Alford","Lindsey South Riding",,"TF4576",
