PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes
6471,"KEN","5,200","Eastry","Betteshanger","Eastry",,"TR3152",
6476,"CHS","B13. 2,1","`Duddeston'","Bettisfield","Broxton",,"SJ4635",
6481,"SHR","4,23,9","Hodnet","Betton",,,"SJ6936",
6486,"SHR","1,6","Condover","Betton [Abbots and Strange]",,,,
6491,"SUS","10,107. 12,18","Falmer","Bevendean and [Lower] Bevendean","Lewes",,,
6496,"SUS","10,5;7(-8)","Eastbourne","`Beverington'","Pevensey",,"TQ5900","approximate"
6501,"YKS","2E1;18(-41). SE,Sn10","{Sneculfcros}","Beverley","East Riding",,"TA0339",
6506,"WIL","32,4. 56,5","`Kingsbridge'","Beversbrook and [Lower] Beversbrook",,,,
6511,"SUF","67,6","Parham","Beversham",,,"TM3558",
6516,"GLS","1,15","Berkeley","Beverstone",,,"ST8693",
6521,"WAR","EW7","{Fernecumbe}","Bevington",,,"SP0453",
6526,"WOR","10,15","`Ash'","Bevington",,,"SP0453",
6531,"YKS","24W15. SW,Bu28","`Burghshire'","Bewerley","West Riding",,"SE1564",
6536,"YKS","14E29. SE,Hol22","Holderness [North Hundred]","Bewholme","East Riding",,"TA1650",
6541,"YKS","14E11 and note. SE,Hol17","Holderness [Middle Hundred]","Bewick [Hall]","East Riding",,"TA2339",
6546,"SUS","9,11","Bexhill","Bexhill","Hastings",,"TQ7407",
6551,"DOR","47,5","`Uggescombe'","[East and West] Bexington",,,,
6556,"KEN","2,6","{Helmestrei}","Bexley","Sutton",,"TQ4973",
6561,"NFK","9,231. 15,2. 66,9;48","`Clackclose'","Bexwell",,,"TF6303",
6566,"SUF","31,54","Thedwastre","Beyton",,,"TL9362",
6571,"DOR","26,6;12","Dorchester","Bhompston",,,"SY7290",
6576,"GLS","3,4. EvK80. WoA1. WoB16-17","Bibury","Bibury",,,"SP1106",
6581,"OXF","28,3","Kirtlington","Bicester",,,"SP5822",
6586,"WIL","25,12","-","{Bichenehilde}",,,"SU0175","speculative"
6591,"YKS","2W4 and note","`Skyrack'","{Bichertun}","West Riding","{Bicherun} YKS","SE1948","approximate"
6596,"YKS","2W4 note. SW,Sk2","`Skyrack'","{Bicherun}","West Riding","{Bichertun} YKS","SE1948","approximate"
6601,"SOM","19,27","`Abdick'","Bickenhall",,,"ST2818",
6606,"WAR","17,2-3","Coleshill","Bickenhill and [Middle] Bickenhill",,,,
6611,"LIN","2,30. 12,75. 56,22. 57,44. 67,19. CK66","Kirton","Bicker","Holland",,"TF2237",
6616,"RUT","ELc17","Kirton","Bicker","Rutland",,"TF2237",
6626,"NFK","66,31","Forehoe","Bickerston",,,"TG0808",
6631,"CHS","2,20","`Duddeston'","Bickerton",,,"SJ5052",
6636,"HEF","15,5","{Wimundestreu}","Bickerton",,,"SO6530",
6641,"YKS","28W37. SW,An17","Ainsty","Bickerton","West Riding",,"SE4550",
6646,"DEV","29,8. 52,28","Plympton","Bickford",,,"SX5758",
6651,"STS","17,3","Cuttlestone","Bickford",,,"SJ8814",
6656,"DEV","28,10","Witheridge","Bickham",,,"SS8620",
6661,"SOM","25,15","Carhampton","Bickham",,,"SS9541",
6666,"DEV","45,2","Black Torrington","[Abbots] Bickington",,,"SS3813",
6671,"DEV","1,40;67","North Tawton","[High] Bickington",,,"SS5920",
6676,"DEV","21,19","Roborough","Bickleigh",,,"SX5262",
6681,"DEV","15,61","Silverton","Bickleigh",,,"SS9407",
6686,"DEV","36,8","Fremington","Bickleton",,,"SS5031",
6691,"CHS","2,19","`Duddeston'","Bickley",,,"SJ5448",
6696,"GLS","78,7","{Celfledetorn}","Bickmarsh",,,"SP1049",
6701,"WAR","43,2","{Fernecumbe}","Bickmarsh",,,"SP1049",
6706,"WOR","EG17","{Celfledetorn}","Bickmarsh",,,"SP1049",
6711,"WOR","EW2","{Fernecumbe}","Bickmarsh",,,"SP1049",
6716,"GLS","37,2","Westbury","[English] Bicknor",,,"SO5815",
6721,"HAM","22,1","Fordingbridge","Bickton",,,"SU1412",
6726,"CON","5,2,26","Rillaton","Bicton",,,"SX3169",
6731,"DEV","51,1","Budleigh","Bicton",,,"SY0785",
6736,"SHR","3f,3","Baschurch","Bicton",,,"SJ4414",
6741,"BDF","4,4. 6,1. 13,1(-2). 23,28. 25,4. 56,1(-4)","`Buckelowe'","Biddenham",,,"TL0250",
6746,"WIL","42,4","Amesbury","Biddesden",,,"SU2951",
6751,"WIL","27,21","Chippenham","Biddestone",,,"ST8673",
6756,"BUK","1,7. 12,27","`Stotfold'","Biddlesden",,,"SP6340",
6761,"STS","1,33","Pirehill","Biddulph and [Over] Biddulph",,,,
6766,"DEV","1,60","Merton","Bideford",,,"SS4526",
6771,"WAR","1,3. 4,5","{Fernecumbe}","Bidford [-on-Avon]",,,"SP1051",
6776,"YKS","1Y10. 1E11a. SE,P1","Pocklington","Bielby","East Riding",,"SE7843",
6781,"YKS","9W134 and note. SW,M8","Morley","[North] Bierley","West Riding",,"SE1729",
6786,"BUK","4,7","Aylesbury","Bierton",,,"SP8415",
6791,"DEV","15,44","{Alleriga}","Bigbury",,,"SX6646",
6796,"LIN","7,18. 13,18. 25,14","Yarborough","Bigby","Lindsey North Riding",,"TA0507",
6801,"WAR","17,44-45","`Bumbelowe'","`Biggin'",,,"SP5377",
6806,"BDF","51,2;4","Biggleswade","Biggleswade",,,"TL1844",
6811,"HAM","6,3","`Chuteley'","Bighton",,,"SU6134",
6816,"SUS","11,78","Bury","Bignor","Arundel",,"SU9814",
6821,"ESS","30,31","Dunmow","Bigods",,,"TL6224",
6826,"NTT","1,50. 10,39","Broxtowe","Bilborough",,,"SK5142",
6831,"STS","7,5","Seisdon","Bilbrook",,,"SJ8703",
6836,"YKS","22W2. SW,An8","Ainsty","Bilbrough","West Riding",,"SE5346",
6841,"NTT","9,45","`Bassetlaw'","Bilby",,,"SK6383",
6846,"SUF","41,1","Cosford","Bildeston",,,"TL9949",
6851,"HAM","NF8,1","Boldre","{Bile}",,,,"unknown"
6856,"YKS","5W14 and note. 10W15. 12W1;7. SW,Sf9","Strafforth","Bilham [House]","West Riding",,"SE4806",
6861,"LEC","28,4","Gartree","Billesdon",,,"SK7102",
6866,"WAR","18,14","{Fernecumbe}","Billesley",,,"SP1456",
6871,"NTH","18,2;4. 48,3. 57,1","`Spelhoe'","[Great and Little] Billing",,,,
6876,"LIN","2,32. 12,55. 24,94. 26,36. 27,58. CK51","Aveland","Billingborough","Kesteven",,"TF1134",
6881,"NFK","1,226 and note. 15,25. 43,2","Earsham","Billingford",,,"TM1679",
6886,"NFK","4,31. 32,1. 39,2. ESf7","`Eynesford'","Billingford",,,"TG0120",
6891,"SUF","56,6","Eynesford","Billingford",,,"TG0120",
6896,"LIN","2,40(-41)","`Langoe'","Billinghay","Kesteven",,"TF1554",
6901,"YKS","10W25. 29W8. SW,Sf17;19","Strafforth","Billingley","West Riding",,"SE4304",
6906,"BDF","1,1b note","Stanbridge","Billington",,,"SP9422",
6911,"STS","11,6","Cuttlestone","Billington",,,"SJ8820",
6916,"NFK","9,19. 10,90. 17,14. 64,6","`West Flegg'","Billockby",,,"TG4213",
6921,"NFK","23,12-13. 66,96","`Freebridge'","[West] Bilney",,,"TF7115",
6926,"LIN","13,8","`Calcewath'","Bilsby","Lindsey South Riding",,"TF4676",
6931,"SUS","11,86","Binsted","Bilsham","Arundel",,"SU9702",
6936,"KEN","5,175","Newchurch","Bilsington","Lympne",,"TR0434",
6941,"NTT","17,5","`Bassetlaw'","Bilsthorpe",,,"SK6560",
6946,"STS","1,4","Seisdon","Bilston",,,"SO9596",
6951,"LEC","11,3","Guthlaxton","Bilstone",,,"SK3605",
6956,"WAR","12,6","Marton","Bilton",,"{Bentone} WAR","SP4873",
6961,"YKS","2E27. 14E47. SE,Mid1. SE,Hol25","Holderness [Middle Hundred]","Bilton","East Riding",,"TA1532",
6966,"YKS","21W11. 29W38. SW,Bu39","`Burghshire'","Bilton","West Riding",,"SE3157",
6971,"YKS","25W10. SW,An10","Ainsty","Bilton","West Riding",,"SE4750",
6976,"LIN","18,7(-10). 53,2. 57,6","`Walshcroft'","Binbrook","Lindsey North Riding",,"TF2193",
6981,"WIL","29,2(-4)","`Selkley'","Bincknoll",,,"SU1079",
6986,"DOR","17,2","Cullifordtree","Bincombe",,,"SY6884",
6991,"SUS","11,4","Singleton","Binderton","Chichester",,"SU8410",
6996,"SUF","6,187(-188);245","Wilford","Bing",,,"TM2853",
7001,"NTT","9,97(-98);99","Bingham","Bingham",,,"SK7039",
7006,"YKS","24W1 and note. SW,Sk18","`Skyrack'","Bingley","West Riding",,"SE1039",
7011,"NFK","34,14-(16). 66,89","`[North] Greenhoe'","Binham",,,"TF9839",
7016,"WAR","6,5. 17,52","Stoneleigh","Binley",,,"SP3778",
7021,"CON","1,16","`Connerton'","Binnerton",,,"SW6033",
7026,"YKS","5E57. SE,Bt9","Burton","Binnington","East Riding",,"SE9978",
7031,"ESS","23,10. 36,9","`Hinckford'","`Binsley'",,,"TL8438",
7036,"HAM","3,9","Droxford","`Binstead'",,,"SU6015",
7041,"HAM","IoW6,17","Bowcombe","Binstead","Isle of Wight",,"SZ5792",
7046,"HAM","23,56","Neatham","Binsted",,,"SU7741",
7051,"SUS","11,80","Binsted","Binsted","Arundel",,"SU9806",
7056,"WAR","28,14. 34,1. 35,2. 37,5","{Fernecumbe}","Binton",,,"SP1454",
7061,"NFK","12,28. 25,1. 56,1","`Eynesford'","Bintree",,,"TG0123",
7066,"HEF","1,58","Archenfield","[Little and Much] Birch",,,,
7071,"ESS","20,39","Lexden","[Great] Birch",,,"TL9419",
7076,"ESS","20,67","Tendring","Birch Hall",,,"TM2122",
7081,"ESS","32,26. 60,3","Lexden","[Little] Birch",,,"TL9420",
7086,"NFK","19,9-10. 20,2","Docking","[Great] Bircham",,,"TF7732",
7091,"NFK","20,1","Docking","Bircham [Newton]",,,"TF7633",
7096,"NFK","2,5","Docking","Bircham [Tofts]",,,"TF7732",
7101,"ESS","1,10. 14,4. 30,48","Uttlesford","Birchanger",,,"TL5022",
7106,"SUS","10,110","Ruston","Birchgrove","Lewes",,"TQ4029",
7111,"DBY","1,28","Blackwell","Birchills",,,"SK2270",
7116,"DBY","6,74","Blackwell","Birchover",,,"SK2362",
7121,,,,"[Ing]birchworth: see Ingbirchworth YKS",,"Ingbirchworth YKS",,
7126,,,,"[Rough]birchworth: see Roughbirchworth YKS",,"Roughbirchworth YKS",,
7131,"ESS","37,11","`Hinckford'","Birdbrook",,,"TL7041",
7136,"SUS","11,44","Wittering","Birdham","Chichester",,"SU8200",
7141,"WAR","6,4. 17,27","Marton","Birdingbury",,,"SP4368",
7146,"YKS","2B18 and note. 5E58. 29E15. 31E6. SE,Sc1","{Scard}","Birdsall","East Riding",,"SE8164",
7151,"YKS","1Y2 and note. SN,A1","Allerton","Birkby","North Riding",,"NZ3302",
7156,"YKS","23N22 and note. See also CHS Y10","Craven","Birkby [Hall]","North Lancashire",,"SD3777",
7161,"YKS","9W13 and note. SW,Sk8","`Skyrack'","Birkby [Hill]","West Riding",,"SE3539",
7166,"YKS","9W26. CW4. SW,BA7","Barkston","Birkin","West Riding",,"SE5326",
7171,"HEF","9,16-17. 10,51","Stretford","Birley",,,"SO4553",
7176,"KEN","5,57","Larkfield","Birling","Aylesford",,"TQ6860",
7181,"WOR","8,4","Pershore","Birlingham",,,"SO9343",
7186,"WAR","27,5","Coleshill","Birmingham",,,"SP0786",
7191,"LEC","C11. 13,21;61","`Goscote'","Birstall",,,"SK5908",
7196,"YKS","1W43. 28W23. SW,Bu30","`Burghshire'","Birstwith","West Riding",,"SE2359",
7201,"LIN","24,95","Aveland","Birthorpe","Kesteven",,"TF1033",
7206,"NTH","1,2e. 56,25","Witchley","Bisbrooke","Rutland",,"SP8899",
7211,"RUT","EN2;17","Witchley","Bisbrooke","Rutland",,"SP8899",
7216,"LIN","3,41","`Wraggoe'","Biscathorpe","Lindsey South Riding",,"TF2284",
7221,"BDF","1,5","Flitton","Biscot",,,"TL0823",
7226,"BRK","21,7","`Beynhurst'","Bisham",,,"SU8485",
7231,"WOR","2,21","`Oswaldslow'","Bishampton",,,"SO9851",
7236,"KEN","2,17","Barham","Bishopsbourne","Borough",,"TR1852",
7241,"MDX","3,27","`Ossulstone'","Bishopsgate",,,"TQ3381",
7246,"DEV","2,4","Exminster","Bishopsteignton",,,"SX9173",
7251,"HAM","2,6","Fawley","[Bishop]stoke",,,"SU4619",
7256,"HEF","2,46","{Stepleset}","Bishopstone",,,"SO4143",
7261,"SOM","19,86","Tintinhull","`Bishopstone'",,,"ST5017",
7266,"SUS","3,1","`Flexborough'","Bishopstone","Pevensey",,"TQ4700",
7271,"WIL","24,28","Warminster","Bishopstrow",,,"ST8943",
7276,"GLS","E9","Hartcliffe","Bishopsworth",,,"ST5768",
7281,"SOM","5,20-21","Hartcliffe","Bishopsworth",,,"ST5768",
7286,"YKS","1W29 and note. 23E19. 29W12;27. SW,An1","Ainsty","Bishopthorpe","West Riding",,"SE5947",
7291,"SHR","4,25,7","{Alnodestreu}","Bishton",,,"SJ8001",
7296,"STS","17,6","Pirehill","Bishton",,,"SK0220",
7301,"GLS","28,1(-3)","Bisley","Bisley",,,"SO9005",
7306,"OXF","51,1","-","{Bispesdone}",,,,"unknown"
7311,"YKS","1L1. See also CHS Y2","Amounderness","Bispham","North Lancashire",,"SD3040",
7316,"HAM","NF9,38","Ringwood","Bisterne",,,"SU1500",
7321,"CHS","FT3,1(-5);6-7","Ati's Cross","Bistre","Ati's Cross",,"SJ2762",
7326,"LIN","7,40. 26,48. 59,11","`Beltisloe'","Bitchfield","Kesteven",,"SK9828",
7331,"YKS","SW,An17 and note","Ainsty","{Bithen}","West Riding",,"SE5948","approximate"
7336,"DEV","3,60","Braunton","Bittadon",,,"SS5441",
7341,"NFK","1,80;213","`Laundich'","Bittering",,,"TF9317",
7346,"SHR","4,8,13","`Overs'","Bitterley",,,"SO5677",
7351,"LEC","1,12","Guthlaxton","Bittesby",,,"SP5085",
7356,"LEC","10,9. 29,7","Guthlaxton","Bitteswell",,,"SP5385",
7361,"GLS","1,9. 78,13","`Swineshead'","Bitton",,,"ST6869",
7366,"GLS","78,13 note","`Swineshead'","Bitton [Prebend]",,,"ST6869",
7371,"OXF","20,8. 58,12","Binfield","Bix",,,"SU7285",
7376,"NFK","9,32;42(-45);45;114. 66,81","`Henstead'","Bixley",,,"TG2504",
7381,"SUF","3,17. 21,68. 31,14","Carlford","Bixley",,,"TM2044",
7386,"LEC","44,3","Guthlaxton","Blaby",,,"SP5797",
7391,"DEV","17,66. 29,5","{Alleriga}","Blachford",,,"SX6160",
7396,"DEV","1,24","Chillington","Blackawton",,,"SX8050",
7401,"DEV","16,101. 34,20. 51,7","Silverton","Blackborough",,,"ST0909",
7406,"CHS","R4,1","Blackburn","Blackburn","South Lancashire",,"SD6828",
7411,"SOM","8,9. 36,8","{Blachethorna}","Blackford",,,"ST6526",
7416,"DOR","56,52;65","Hasler","Blackmanston",,,"SY9180",
7421,"KEN","9,12","`Worth'","Blackmanstone","Lympne",,"TR0729",
7426,"HRT","34,22","Hertford","`Blackmore'",,,"TL3012",
7431,"SOM","21,35","Cannington","Blackmore",,,"ST2438",
7436,"DEV","1,41","South Molton","[Higher, Lower and Middle] Blackpool",,,,
7441,"DEV","34,46","Kerswell","`Blackslade'",,,"SX7375",
7446,"GLS","(75,3) and note","`Swineshead'","Blacksworth",,,"ST6273",
7451,"DBY","1,28","Blackwell","Blackwell",,,"SK1272",
7456,"WAR","EW2","`Oswaldslow'","Blackwell",,,"SP2443",
7461,"WOR","2,46","`Oswaldslow'","Blackwell",,,"SP2443",
7466,"CHS","20,1","Willaston","Blacon",,,"SJ3767",
7471,"OXF","7,22","Wootton","Bladon",,,"SP4414",
7476,"SOM","37,1","`Winterstoke'","Blagdon",,,"ST5058",
7481,"DEV","21,9(-10);11","Witheridge","Blagrove",,,"SS7716",
7486,"NFK","1,19. 10,56. 25,20","Holt","Blakeney",,,"TG0343",
7491,"CHS","18,6","{Warmundestrou}","Blakenhall",,,"SJ7247",
7496,"SUF","1,3;67. 8,57. 9,1","Bosmere","[Great] Blakenham",,,"TM1150",
7501,"SUF","21,21. 29,5","Bosmere","[Little] Blakenham",,,"TM1048",
7506,"NTH","1,6. 18,95. 22,7. 35,24","Foxley","Blakesley",,,"SP6250",
7511,"DEV","16,74","Braunton","Blakewell",,,"SS5536",
7516,"DOR","26,37. 47,4. 56,31","Pimperne","[Langton Long] Blandford",,,"ST8905",
7521,"DOR","26,29. 34,6. 49,1. 56,14","Combsditch","Blandford [St Mary] and [Lower] Blandford [St Mary]",,,,
7526,"YKS","1Y4 and note. SN,D11","{Dic}","[High] Blandsby","North Riding",,"SE8287",
7531,"LIN","31,16","`Langoe'","Blankney","Kesteven",,"TF0660",
7536,"LEC","1,4. 15,2. 40,20","Gartree","Blaston",,,"SP8095",
7541,"ESS","20,61","`Thurstable'","`Blatchams'",,,"TL8610",
7546,"YKS","5N29 and note. SN,L44","Langbaurgh","Blaten [Carr]","North Riding",,"NZ5205","approximate"
7551,"NTH","30,10","Corby","Blatherwycke",,,"SP9795",
7556,"SUF","3,87;89;92. 6,29;33-34;37;39;41. 7,136. 8,80. 16,6 note. 21,36. 45,1","Parham","Blaxhall",,,"TM3556",
7561,"SOM","21,77","Andersfield","Blaxhold",,,"ST2234",
7566,"DEV","39,20","Roborough","Blaxton",,,"SX4762",
7571,"BDF","3,8;10-11","`Winterstoke'","Bleadon",,,"ST3456",
7576,"BUK","5,10;18","`Winterstoke'","Bleadon",,,"ST3456",
7581,"SOM","2,11. EBe1-3. EBu1-2","`Winterstoke'","Bleadon",,,"ST3456",
7586,"KEN","12,4","Whitstable","Blean","Borough",,"TR1260",
7591,"LIN","16,15. 28,29(-31). 48,9;11","`Wraggoe'","Bleasby","Lindsey South Riding",,"TF1384",
7596,"SUR","19,2","Tandridge","Blechingley",,,"TQ3250",
7601,"GLS","11,2","Salmonsbury","Bledington",,,"SP2422",
7606,"GLS","1,13","Bledisloe","Bledisloe",,,"SO6808",
7611,"BUK","12,3","Risborough","Bledlow",,,"SP7702",
7616,,,,"{Bledone}: see Bleadon SOM",,"Bleadon SOM",,
7621,"OXF","B9. 28,19. 58,27","Kirtlington","Bletchingdon",,,"SP5017",
7626,"BDF","23,27. 53,8","`Buckelowe'","Bletsoe",,,"TL0258",
7631,"BRK","B1. 1,5. 17,7","Blewbury","Blewbury",,,"SU5385",
7636,"NFK","1,57. 10,38-39;65","South Erpingham","Blickling",,,"TG1728",
7641,"NTT","5,9(-10);11","Thurgarton","Blidworth",,,"SK5855",
7646,"NTT","18,6","Blidworth","-",,,"  --","area"
7651,"DBY","5,5","`Scarsdale'","`Blingsby'",,,"SK4665","approximate"
7656,"CON","1,6","Stratton","Blisland",,,"SX1073",
7661,"NTH","35,7","Collingtree","Blisworth",,,"SP7253",
7666,"STS","8,27","Pirehill","Blithfield",,,"SK0423",
7671,,,,"Blo Norton: see [Blo] Norton NFK",,"[Blo] Norton NFK",,
7676,"GLS","E23. EvA117;119 note. EvC38;40. WoB7. WoC6","`Oswaldslow'","Blockley",,,"SP1634",
7681,"WOR","2,38(-44)","`Oswaldslow'","Blockley",,,"SP1634",
7686,"NFK","10,14;28. 20,21","Blofield","Blofield",,,"TG3309",
7691,"CHS","FT1,3","Ati's Cross","Blorant","Ati's Cross",,"SJ0969",
7696,"STS","11,40","Totmonslow","Blore",,,"SK1349",
7701,"OXF","B5. 1,7a-7b","Bloxham","Bloxham",,,"SP4235",
7706,"LIN","16,46. 27,46","`Flaxwell'","Bloxholm","Kesteven",,"TF0653",
7711,"STS","1,6","Offlow","Bloxwich and [Little] Bloxwich",,,,
7716,"DOR","11,4","Combsditch","Bloxworth",,,"SY8894",
7721,"SUF","3,54. 7,54","`Lothingland'","Blundeston",,,"TM5197",
7726,"BDF","6,3. 21,11. 53,35","{Wichestanestou}","Blunham",,,"TL1551",
7731,"WIL","24,21. 27,12. 67,100","{Scipa}","[Broad] Blunsdon and Blunsdon [St Andrew]",,,,
7736,"HUN","4,2. 6,10","`Hurstingstone'","Bluntisham",,,"TL3674",
7741,"ESS","20,10. 34,5","Witham","Blunt's Hall",,,"TL8014",
7746,"LIN","3,4. 14,16. 28,1. 63,1","`Aslacoe'","Blyborough","Lindsey West Riding",,"SK9394",
7751,"SUF","13,2","`Blything'","Blyford",,,"TM4276",
7756,"STS","11,56","Cuttlestone","Blymhill",,,"SJ8012",
7761,"NTT","9,49","`Bassetlaw'","Blyth",,,"SK6287",
7766,"SUF","1,10;12. 6,82;89. 26,12a(12b;12c;12d). 33,10","`Blything'","Blythburgh",,,"TM4575",
7771,"LIN","1,39;51. 16,31. 57,8","Corringham","Blyton","Lindsey West Riding",,"SK8594",
7776,"HAM","3,23. 21,1. 23,33","Portsdown","Boarhunt and [North] Boarhunt",,,,
7781,"HRT","15,8","Tring","Boarscroft",,,"SP8717",
7786,"DEV","16,6","Lifton","Boasley",,,"SX4992",
7791,"STS","11,43","Seisdon","Bobbington",,,"SO8090",
7796,"ESS","37,15","Ongar","Bobbingworth",,,"TL5305",
7801,"KEN","5,131","Stowting","{Bochelande}","Lympne",,,"unknown"
7806,"BRK","48,1. 65,12","Lambourn","Bockhampton",,,"SU3378",
7811,"DOR","58,1","Dorchester","[Higher and Lower] Bockhampton",,,,
7816,"ESS","2,2","`Hinckford'","Bocking",,,"TL7523",
7821,"ESS","90,18","Lexden","Bockingham",,,"TL9321",
7826,"WOR","3,1","`Doddingtree'","Bockleton",,,"SO5961",
7836,"CON","5,13,2","Fawton","Boconnoc",,,"SX1460",
7841,"CON","5,4,13","`Tybesta'","Bodardle",,,"SX0960",
7846,"CON","5,12,1","Fawton","Bodbrane",,,"SX2359",
7851,"GLS","1,41. 19,2","Tewkesbury","Boddington",,,"SO8925",
7856,"NTH","18,96. 22,2","Warden","[Lower and Upper] Boddington",,,,
7861,"LIN","36,2","Yarborough","{Bodebi}","Lindsey North Riding",,"TA0817","speculative"
7866,"CON","1,1","Winnianton","[Higher] Boden and Boden [Vean]",,,,
7871,"HEF","10,9. 24,9","{Tornelaus}","Bodenham",,,"SO5351",
7876,"SOM","8,12 note","Whitley","{Bodeslege}",,,"ST5233","speculative"
7881,"CHS","FT1,2","Ati's Cross","Bodeugan","Ati's Cross",,"SJ0575",
7886,"CHS","FT2,2","Ati's Cross","Bodfari","Ati's Cross",,"SJ0970",
7891,"NFK","23,18. 25,21. 66,97","Holt","Bodham",,,"TG1238",
7896,"SUS","9,120","Staple","Bodiam","Hastings",,"TQ7825",
7901,"OXF","17,6. (20,7). 34,3","Bloxham","Bodicote",,,"SP4637",
7906,"CON","1,7","Fawton","Bodigga",,,"SX2754",
7911,"CON","5,3,9","`Tybesta'","Bodiggo",,,"SX0458",
7916,"CON","4,3","Rialton","Bodmin",,,"SX0767",
7921,"NFK","8,96. 22,8. 23,1","`[South] Greenhoe'","Bodney",,,"TL8398",
7926,"CON","5,3,10","`Tybesta'","Bodrugan",,,"SX0143",
7931,"KEN","7,26","Stowting","Bodsham","Lympne",,"TR1145",
7936,"CON","5,24,15","Fawton","Boduel",,,"SX2263",
7941,"DEV","24,11-12","Halberton","Boehill",,,"ST0315",
7946,"YKS","30W37 and note","Craven","{Bogeuurde}","West Riding",,"SD7050","approximate"
7951,"CON","1,1","Winnianton","Bojorrow",,,"SW7023",
7956,"DEV","15,38;73","Diptford","Bolberry",,,"SX6939",
7961,"HAM","NF9,16","Boldre","Bolderford",,,"SU2904",
7966,"HAM","NF9,19","Boldre","Boldre",,,"SZ3198",
7971,"NTT","5,4. 9,118;125","Oswaldbeck","Bole",,,"SK7987",
7976,"SHR","4,1,33","{Alnodestreu}","{Bolebec}",,,,"unknown"
7981,"DEV","51,8","Tiverton","Bolham",,,"SS9514",
7986,"DEV","16,121","Hemyock","Bolham [Water]",,,"ST1612",
7991,"LIN","14,66(-83)","Bolingbroke","[Old] Bolingbroke","Lindsey South Riding",,"TF3565",
7996,"HEF","1,69","Elsdon","Bollingham",,,"SO3052",
8001,"ESS","32,20. 90,35;41","Clavering","Bollington [Hall]",,,"TL5027",
8006,"OXF","59,1","Binfield","Bolney",,,"SU7780",
8011,"BDF","2,4(-5). 3,8. 10,1. 53,6. (57,16)","`Stodden'","Bolnhurst",,,"TL0859",
8016,"DBY","7,1","`Scarsdale'","Bolsover",,,"SK4770",
8021,"YKS","23N13-14","`Yarlestre'","Boltby","North Riding",,"SE4986",
8026,"YKS","2B11. 29E5. SE,P7","Pocklington","Bolton","East Riding",,"SE7752",
8031,"YKS","9W131 and note. SW,M6 and note","Morley","Bolton","West Riding",,"SE1635",
8036,"YKS","1W73. SW,Cr1(-4);5","Craven","Bolton [Abbey]","West Riding",,"SE0753",
8041,"YKS","13W40","Craven","Bolton [by Bowland]","West Riding",,"SD7849",
8046,"YKS","6N87 and note. SN,CtA27","Land of Count Alan","[Castle] Bolton","North Riding",,"SE0391",
8051,"YKS","1L8 and note. See also CHS Y9","Amounderness","Bolton [Farm]","North Lancashire",,"SD2572",
8056,"YKS","1L2. See also CHS Y3","Amounderness","Bolton [le Sands]","North Lancashire",,"SD4867",
8061,"YKS","13W7 note. 13W12. CW33;35;40. SW,An4","Ainsty","Bolton [Percy]","West Riding",,"SE5341",
8066,"YKS","10W26. 13W7 and note. SW,Sf19","Strafforth","Bolton [upon Dearne]","West Riding",,"SE4502",
8071,"YKS","6N24 and note. SN,CtA12","Land of Count Alan","Bolton [upon Swale]","North Riding",,"SE2599",
8076,"YKS","6N88. SN,CtA27","Land of Count Alan","[West] Bolton","North Riding",,"SE0290",
8081,"DBY","6,18","{Walecros}","{Bolun}",,,,"unknown"
8086,"LIN","25,1. 36,3","Yarborough","Bonby","Lindsey North Riding",,"TA0015",
8091,"HAM","IoW7,1","Bowcombe","Bonchurch and [Upper] Bonchurch","Isle of Wight",,,
8096,"DEV","3,20","North Tawton","Bondleigh",,,"SS6504",
8101,"ESS","57,6","Uttlesford","Bonhunt",,,"TL5133",
8106,,,,"Bonington: see Sutton [Bonington] NTT",,"Sutton [Bonington] NTT",,
8111,"KEN","9,48","Street","Bonnington","Lympne",,"TR0534",
8116,"DBY","1,12","Hamston","Bonsall",,,"SK2758",
8121,"LIN","3,51(-52)","`Calcewath'","Bonthorpe","Lindsey South Riding",,"TF4872",
8126,"CON","1,7","Rillaton","Bonyalva",,,"SX3059",
8131,"DEV","{3,32} note","Braunton","Boode",,,"SS5038",
8136,"SUR","8,17","Effingham","[Great] Bookham",,,"TQ1354",
8141,"SUR","20,2","Effingham","[Little] Bookham",,,"TQ1254",
8146,"LIN","14,101. 24,60. 28,43","`Candleshoe'","Boothby","Lindsey South Riding",,"TF4868",
8151,"LIN","1,5. 27,59","Boothby","Boothby [Graffoe]","Kesteven",,"SK9859",
8156,"LIN","24,81. 57,55","`Threo'","Boothby [Pagnell]","Kesteven",,"SK9730",
8161,"LEC","14,21","`Goscote'","Boothorpe",,,"SK3117",
8166,"CHS","R1,21","[West] Derby","Bootle","South Lancashire",,"SJ3494",
8171,"YKS","1L6. See also CHS Y7","Amounderness","Bootle","Cumberland",,"SD1088",
8176,"NFK","37,3","South Erpingham","Booton",,,"TG1222",
8181,,,,"`Bordelby': see Barwick YKS",,"Barwick YKS",,
8186,"YKS","30W34","Craven","Bordley","West Riding",,"SD9464",
8191,"ESS","20,56. 22,17. 24,58","Chelmsford","Boreham",,,"TL7509",
8196,"SHR","3b,5","Condover","Boreton",,,"SJ5106",
8201,"SUS","11,90","Binsted","{Borham}","Arundel",,,"unknown"
8206,"ESS","54,1. 90,55","`Hinckford'","Borley",,,"TL8443",
