osmid,phase,year,osmname,category,lat,lon
284904949.0,year_1,1200.0,Kerk van Sint Petrus' Stoel te Antiochie,parish,50.99869666,5.868131781
109294920.0,year_1,1200.0,Sint-Martinuskerk,parish,51.2112184,5.426183127
145410131.0,year_1,700.0,St. Lambertus,parish,51.07999729,6.31547749
443903751.0,year_1,1257.0,Minderbroederskerk,conventual,50.81391481,5.185589464
236756555.0,year_1,1231.0,Sint-Leonardus,other,50.83327279,5.103033112
334208782.0,year_1,1400.0,Sint-Willibrorduskerk,other,51.03393494,5.282068476
144110983.0,year_1,1100.0,Sint-Amanduskerk,other,51.16204544,4.990475338
111168545.0,year_1,1100.0,Sint-Martinuskerk,parish,51.03150552,5.371989286
144170522.0,year_1,1349.0,Sint-Dimpnakerk,parish,51.16267466,5.002066277
236817846.0,year_1,1000.0,Sint-Martinuskerk,parish,50.96388734,5.500855089
104148668.0,year_1,700.0,Collégiale Sainte-Begge,conventual,50.48688686,5.100859483
76823759.0,year_1,800.0,Ehemalige Reichsabtei (Benediktinerabtei) Kornelimünster,conventual,50.72891502,6.181824692
81244209.0,year_1,1180.0,Abbaye du Val-Dieu,conventual,50.69795128,5.805467513
3753863.0,year_1,1108.0,Abdij Rolduc,conventual,50.86813926,6.082211104
61814289.0,year_1,1000.0,St. Marien,parish,49.50552012,11.7385552
249503624.0,year_1,1100.0,kloster Sankt Emmeram spalt,conventual,49.17496164,10.9260526
45763285.0,year_1,1000.0,St. Martin,parish,49.7714513,11.05828557
18798415.0,year_1,1410.0,Hofkirche Zu unserer Lieben Frau,parish,49.28088093,11.46113061
45104659.0,year_1,900.0,Martinskirche,conventual,49.71964155,11.05741404
144075255.0,year_1,1100.0,St. Nikolaus,parish,49.10649045,10.98617618
109465799.0,year_1,1119.0,Asamkirche St. Johannes Evangelista,conventual,49.70409841,11.58701408
33216172.0,year_1,1242.0,Mariä Himmelfahrt,conventual,49.26531258,11.30829652
52031458.0,year_1,700.0,St. Kilian,parish,49.50249823,10.41685745
80868327.0,year_1,1200.0,Basilika zur Heiligsten Dreifaltigkeit,parish,49.76990076,11.33720978
18792801.0,year_1,1000.0,Münster St. Johannes,parish,49.27993938,11.457532
28982053.0,year_1,1100.0,St. Walburga,parish,49.03487406,11.47331244
310994417.0,year_1,760.0,St. Wunibald,conventual,49.01753273,10.74283788
208053180.0,year_1,1000.0,Stiftsbasilika,conventual,49.23261682,10.49831683
34311134.0,year_1,1182.0,St. Andreas-Kirche,conventual,49.03189869,10.97034252
10935083.0,year_1,1132.0,Heilsbronner Münster,conventual,49.33778158,10.7917372
95256885.0,year_1,1127.0,Mariä Himmelfahrt,conventual,49.84751624,10.49517157
82533427.0,year_1,1000.0,Große Kirche,parish,52.14362209,7.340971071
242482198.0,year_1,1200.0,St. Pantaleon,parish,51.95433781,7.533384049
200234072.0,year_1,1300.0,St. Mariä Himmelfahrt,parish,52.04941877,8.031716423
122781715.0,year_1,1000.0,St.-Alexander-Kirche,parish,52.34977657,8.015688942
98503020.0,year_1,1160.0,St. Andreaskirche,parish,52.30161123,8.618361636
276497424.0,year_1,1200.0,Pfarrkirche St. Johannis,parish,52.5002335,7.952590669
146965811.0,year_1,800.0,St. Peter und Paul,parish,52.20663598,8.064620329
24564643.0,year_1,800.0,St. Martinus,parish,51.93009571,7.352941858
224526605.0,year_1,1200.0,St. Vincentius,parish,52.67251958,7.485852605
34942667.0,year_1,1400.0,St. Dionysius,parish,52.08525732,7.480363073
88853616.0,year_1,820.0,Stiftskirche St. Bonifatius,conventual,51.92094504,7.9686068
163946255.0,year_1,1150.0,Marienkirche,parish,51.9533733,7.987438351
39366894.0,year_1,1100.0,St.Martin,parish,51.84414889,7.827966984
95347255.0,year_1,1150.0,St. Nikolaus,parish,52.68443677,7.6029509
242251052.0,year_1,1300.0,Sankt Catharina,parish,52.66063186,8.123646498
186500393.0,year_1,852.0,Katholische Pfarrkirche St. Gertrud,parish,52.66531618,8.23755473
27074806.0,year_1,800.0,St. Laurentius,parish,51.95252217,7.991697095
277024895.0,year_1,1200.0,St. Viktor,parish,52.52097771,8.197845638
26351459.0,year_1,800.0,St. Aegidius,parish,51.83510906,8.310816208
112510305.0,year_1,1100.0,St. Ambrosius,parish,52.03628709,7.839121212
27190126.0,year_1,800.0,Martinikirche,parish,52.09261292,7.611624768
117634418.0,year_1,1246.0,St. Johannes Rulle,conventual,52.33575575,8.053755449
48560915.0,year_1,750.0,St. Pankratius,parish,52.17478044,7.528953243
189125466.0,year_1,1200.0,Sankt-Matthäus-Kirche,parish,52.20241098,8.336980458
315839065.0,year_1,800.0,Artländer Dom St. Nikolaus,parish,52.54273016,7.869781493
186261453.0,year_1,968.0,St. Nikomedes,conventual,52.12649438,7.398084071
359374829.0,year_1,1200.0,Saint Peter,parish,52.72872405,0.223051110523644
254496627.0,year_1,1300.0,terrington st clement parish church,parish,52.75928698,0.298575938951608
342937183.0,year_1,800.0,st mary,parish,52.81361834,-0.158627480276311
73451393.0,year_1,800.0,Saint Marys,parish,52.76360608,-0.885919735986093
143418080.0,year_1,1100.0,Saint Deny's,parish,52.99970169,-0.408857410729589
359396890.0,year_1,1100.0,St Peter & St Paul,parish,52.66400739,0.161921194799917
114473330.0,year_1,780.0,St Paul's,other,52.13545851,-0.467496035247571
128994102.0,year_1,800.0,St Wulfram's Church,parish,52.91493633,-0.640831589051891
63893902.0,year_1,1350.0,Église Saint-Sulpice,parish,43.77498162,1.686543235
108971960.0,year_1,1250.0,Église Saint-Laurent,parish,43.29070005,1.227369222
116705769.0,year_1,1100.0,Église Saint-Sulpice,other,43.32799331,1.320660628
129762441.0,year_1,1303.0,Collégiale,other,43.44895237,1.886547403
249545347.0,year_1,1000.0,Église Notre-Dame,parish,43.31297719,1.532498659
177387185.0,year_1,900.0,Église Saint-Saturnin,parish,43.19838661,1.752508542
63251283.0,year_1,1100.0,Église Notre-Dame du Bourg,conventual,43.8211879,1.724989462
77478869.0,year_1,800.0,Cathédrale Sainte-Marie,conventual,43.47449229,0.910646511364065
81589764.0,year_1,1100.0,Église Saint-Jacques,parish,43.46080008,1.326540172
368813424.0,year_1,1200.0,eglise,parish,43.25187085,1.677324002
113010463.0,year_1,1290.0,Notre-Dame,parish,43.6266201,0.876267221
166141896.0,year_1,1117.0,Abbatiale Sainte-Marie-du-Désert,conventual,43.69332159,1.115955428
64541109.0,year_1,1282.0,Église Notre-Dame de la Jonquière,parish,43.85184126,1.81085793
61781436.0,year_1,1300.0,Notre-Dame-de-la-Visitation,parish,43.95705495,1.231130753
65884823.0,year_1,1177.0,Collégiale Saint-Martin,other,43.6123492,1.080934539
109186700.0,year_1,1100.0,Cathédrale de la Nativité-de-Marie,conventual,43.25836878,1.203155927
5429932.0,year_1,700.0,Abbaye de Saint-Papoul,conventual,43.33071817,2.033629301
255017121.0,year_1,1000.0,Notre-Dame-de-l'Assomption de Beaumont-de-Lomagne,parish,43.88381618,0.988642212610572
82779787.0,year_1,1000.0,Cathédrale Saint-Alain,conventual,43.69920988,1.821805968
74679373.0,year_1,1290.0,Église Notre-Dame de l'Assomption,conventual,43.77126563,1.294268814
303507574.0,year_2,1170.0,Église Notre-Dame,parish,50.15502938,2.341736702
144640668.0,year_2,1150.0,"Chapelle, abbaye d' ourscamp",conventual,49.53467509,2.975333235
332941188.0,year_2,1500.0,Église Saint-Martin,parish,49.84399785,1.77956858
329719152.0,year_2,1150.0,Église Saint-Vaast,conventual,49.77168435,2.48400689
294467400.0,year_2,1200.0,Église Saint-Jean-Baptiste,parish,50.03978903,1.98184656
363512505.0,year_2,1500.0,Église Saint-Nicolas,parish,50.10894411,2.332723791
291320176.0,year_2,1400.0,Église Saint-Firmin,other,50.01170684,2.196345025
454856917.0,year_2,1000.0,Collègiale,other,49.75712194,2.907808108
193015121.0,year_2,1100.0,Église Saint-Jean-Baptiste,parish,49.92889396,2.934988074
78788285.0,year_2,1100.0,Saint-Hildevert,other,49.48301054,1.728177975
43162909.0,year_2,1180.0,Église Saint-Pierre,parish,49.69824622,2.791294665
356740324.0,year_2,1600.0,Église Saint-Pierre,parish,49.64942719,2.56726589
152663704.0,year_2,1200.0,Église Saint-Jean-Baptiste,parish,49.86927543,2.515600289
194814147.0,year_2,1000.0,Abbatiale Saint-Pierre,conventual,49.90893115,2.510179391
226301677.0,year_2,1100.0,St Nicolas,parish,50.10171177,2.849598414
328174875.0,year_2,850.0,Abbaye Saint-Germer-de-Fly,conventual,49.44342183,1.780894622
195096428.0,year_2,1200.0,Basilique Notre-Dame de Brebières,parish,50.0041137,2.648248198
252153302.0,year_2,780.0,Abbatiale de Saint-Riquier,conventual,50.13405086,1.948456595
124855857.0,year_2,1320.0,St Peter's Parish Church,other,53.11546316,-3.3108873
115532189.0,year_2,1140.0,St. Asaph Cathedral,cathedral,53.25708455,-3.441950653
127212775.0,year_2,1050.0,Oswestry St Oswald Parish Church,parish,52.8570891,-3.057903544
139892873.0,year_2,1236.0,Valle Crucis Abbey,conventual,52.98878209,-3.186702129
60299707.0,year_2,1150.0,Basingwerk Abbey,conventual,53.28796556,-3.207505866
70877442.0,year_2,1106.0,Abbatiale Notre-Dame de Cîteaux,conventual,47.12842676,5.09296784
129011177.0,year_2,1120.0,Église Saint-Laurent,parish,47.13141664,4.485817304
164293089.0,year_2,1255.0,Abbaye de Saint-Seine,conventual,47.4399291,4.789769768
59598411.0,year_2,1200.0,Abbatiale Notre-Dame d'Acey,conventual,47.26188356,5.657297052
167116576.0,year_2,950.0,Abbaye de St Vivant,conventual,47.17201111,4.886554485
53177291.0,year_2,1147.0,Église abbatiale de l'Abbaye de Fontenay,conventual,47.64034779,4.389140713
118302845.0,year_2,1200.0,Église de la Nativité-de-Notre-Dame,parish,47.19391181,5.38820486
117627973.0,year_2,1250.0,Ancienne Abbaye du Val des Choues,conventual,47.77142275,4.753857178
161444380.0,year_2,1025.0,Sint-Odulphuskerk,other,50.80122299,5.344999265
211939518.0,year_2,1000.0,Sint-Pieterskerk,parish,50.92232589,5.694295242
115563336.0,year_2,1200.0,Sint-Monulphus en Gondulphuskerk,parish,51.22586116,5.485196965
115700795.0,year_2,1300.0,Église Saint-Jean-Baptiste,parish,50.63960524,5.794888709
231109653.0,year_2,900.0,Sint-Mauritiuskerk,parish,50.87063489,5.517666877
109836047.0,year_2,1300.0,Sint-Catharinakerk,conventual,51.09503663,5.794348523
87316834.0,year_2,1000.0,Sankt Mariä Himmelfahrt,parish,50.92179155,6.358822576
231085704.0,year_2,1000.0,St. Petrus und Paulus,parish,50.84136189,6.115321998
158417502.0,year_2,900.0,Notre dame,parish,50.61949785,5.938989947
118829449.0,year_2,1100.0,St. Martin,parish,50.89521779,6.282691053
241707332.0,year_2,1200.0,Sint-Monulphus en Sint-Gondulphus-kerk,parish,51.05238651,5.737542551
315790039.0,year_2,1300.0,St. Castor,parish,50.87860739,6.163658184
277080277.0,year_2,1300.0,Sint Margaritakerk,parish,50.820254,5.8210316
117472714.0,year_2,1500.0,sint niklaaskerk,parish,51.24007705,5.113215542
220072164.0,year_2,1100.0,Sint-Servaaskerk,parish,50.90816051,5.419630894
285097427.0,year_2,1100.0,h. martinus,parish,51.03038419,5.808174171
25696461.0,year_2,1500.0,Pfarrkirche St. Vinzentius,parish,51.13210407,6.306306785
344788825.0,year_2,1500.0,St. Petrus,parish,50.90651824,6.18238488
260768438.0,year_2,1240.0,Pfarrkirche St. Gereon,parish,51.00302854,6.242288121
277027125.0,year_2,1025.0,Sint-Michaëlkerk,conventual,51.16059296,5.84197485
289591884.0,year_2,1300.0,sint lambertuskerk,parish,51.2363909,5.957760714
224214972.0,year_2,1000.0,Sint-Stephanuskerk,parish,50.85035196,5.488305905
50039723.0,year_2,1500.0,St. Landricuskerk,parish,51.10706408,5.867427582
277353810.0,year_2,1520.0,Heilige Eligius,parish,50.96902128,5.977654474
87243186.0,year_2,1100.0,Sint-Michielskerk,other,51.14121746,5.597793187
282708124.0,year_2,1108.0,Sint Lambertus,parish,50.86493587,6.060442997
276721712.0,year_2,1300.0,Jacobus de Meerderekerk,other,50.81821463,6.006820428
170084415.0,year_2,1500.0,st lambert,other,50.61647705,5.503912685
276742165.0,year_2,1140.0,Sint-Remigiuskerk,parish,50.83408912,5.982091507
214483170.0,year_2,1400.0,Sint-Ursulakerk,parish,50.87531475,5.574626598
271244312.0,year_2,1200.0,St. Dionysiuskerk,parish,50.94169753,5.888393223
109784450.0,year_2,1300.0,Sint-Niklaaskerk,parish,51.22846994,5.432128241
450124177.0,year_2,1288.0,Onze-Lieve-Vrouwekerk,parish,50.98730702,5.05709301
129774632.0,year_2,1150.0,Sint Trudokerk,parish,51.13112823,5.078902862
174501593.0,year_2,1200.0,Propsteikirche St. Gangolfus,parish,51.05926015,6.093796892
92932497.0,year_2,1400.0,Sint-Pietersbandenkerk,parish,51.2285355,5.314951087
50644505.0,year_2,1200.0,sint laurentius kerk,parish,51.2517393,5.546393019
276810889.0,year_2,1300.0,sint petruskerk,parish,50.81472802,5.889178341
132756223.0,year_2,1320.0,St.-Quintinuskerk,parish,50.99142709,5.367970208
133849879.0,year_2,1500.0,Sint-Pieter en Pauwelkerk,parish,51.18435949,5.116329575
275339051.0,year_2,1300.0,Sint-Martinuskerk,parish,50.93860638,5.797339958
280327460.0,year_2,1100.0,Sint-Pancratiuskerk,parish,50.88772447,5.980175601
284904949.0,year_2,1500.0,Kerk van Sint Petrus' Stoel te Antiochie,parish,50.99869666,5.868131781
109294920.0,year_2,1300.0,Sint-Martinuskerk,parish,51.2112184,5.426183127
145410131.0,year_2,800.0,St. Lambertus,parish,51.07999729,6.31547749
443903751.0,year_2,1258.0,Minderbroederskerk,conventual,50.81391481,5.185589464
236756555.0,year_2,1500.0,Sint-Leonardus,other,50.83327279,5.103033112
334208782.0,year_2,1500.0,Sint-Willibrorduskerk,other,51.03393494,5.282068476
144110983.0,year_2,1300.0,Sint-Amanduskerk,other,51.16204544,4.990475338
111168545.0,year_2,1200.0,Sint-Martinuskerk,parish,51.03150552,5.371989286
144170522.0,year_2,1585.0,Sint-Dimpnakerk,parish,51.16267466,5.002066277
