osmid,osmname,category,lat,lon,year_zero
113129509,Église Sainte-Croix,parish,48.56121826,3.298496754,1234
113130090,Église Saint-Ayoul,parish,48.56061987,3.303298841,1077
113132278,Collégiale Saint-Quiriace,other,48.56073042,3.291725206,700
113302207,St. Ludgerus,conventual,51.43285247,7.003448331,840
113691821,Église Saint-Aignan,other,47.89900359,1.915534704,700
113692150,Église Saint-Euverte,conventual,47.9027482,1.917894935,880
113704283,Église Saint-Paterne,conventual,47.90673246,1.902413806,1100
114665339,Basilica di Sant'Agostino,conventual,42.40447198,12.86330098,1240
114671173,Cattedrale di Santa Maria Assunta,cathedral,42.40214351,12.85894997,500
114671946,Chiesa di San Francesco,conventual,42.40082414,12.86366661,1245
114796150,Lutherische Pfarrkirche St. Marien,parish,50.80902124,8.768055114,1100
115000513,Église Saint-Gilles,conventual,43.67679767,4.432232074,700
115564603,Saint-Julien,parish,50.62895967,3.775381727,1393
116001717,Église Sainte-Eulalie,conventual,44.83327943,-0.577555913279171,700
116079908,Basilica di San Lucchese,conventual,43.45632679,11.14876633,1300
116084407,Collegiata di Santa Maria Assunta,parish,43.46783403,11.04264746,900
116149697,Sint Paulus kerk en kloostergang,conventual,51.22396884,4.401266056,1250
116379269,Basilique Saint-Michel,other,44.83438156,-0.565061467416236,700
116575824,Basilique Notre-Dame,parish,48.5611609,-3.150852732,1150
116748168,San Paolino,parish,43.77264445,11.24777462,300
116991409,Cathédrale Saint-Maurice,cathedral,45.5241978,4.873262272,700
117529525,Basilique-collégiale Notre-Dame,other,47.02423991,4.836625552,1150
117744827,Santi Biagio e Carlo ai Catinari,parish,41.89432915,12.47516308,1100
117952835,Church of Saint Mary the Virgin,parish,52.70870932,-2.751358213,1100
118045978,Halifax Minster,parish,53.72320642,-1.853772652,1120
118143881,Onze-Lieve-Vrouwekerk,parish,51.03215545,4.094347258,1000
118371695,st Brice,parish,50.60812797,3.3950077,900
118416085,Chiesa di San Frediano in Cestello,conventual,43.76996688,11.24401003,1000
118425485,Basilica di Santa Maria del Carmine,conventual,43.7677983,11.2438786,1268
118643707,Église Saint-Nicolas,conventual,47.58417586,1.331354322,924
119060953,Abbatiale Sainte-Croix,conventual,44.83103983,-0.560957100972245,700
119613064,Neumünster,conventual,49.79391612,9.931624607,750
119730211,San Pietro,conventual,44.64198653,10.92741601,983
119767649,Église Saint-Étienne,parish,45.46341788,4.767818662,700
119814738,Cathédrale Saint-Louis,conventual,46.16139391,-1.153338567,1150
119815440,Église Saint-Sauveur,conventual,46.15887237,-1.150296224,1152
120470742,St. Mary Magdalene Church,parish,51.01566508,-3.100744925,1180
120537522,Église Saint-Étienne,parish,44.01090142,4.418909561,1300
120545484,Cathédrale Saint-Théodorit,cathedral,44.01214948,4.42239479,1090
120603840,St. Jacobi,parish,54.09531088,13.37337221,1250
120661948,Duomo,cathedral,39.28886231,16.26018714,600
120854225,Santa Maria in Cosmedin,parish,41.88809125,12.48170184,580
120926571,Martinikirche,parish,51.96537259,7.630224644,1150
120962905,Église Saint-Sauveur,parish,43.40539386,6.061914864,1012
121570436,Cathédrale Saint-Vincent,cathedral,46.78249843,4.859067628,700
121736935,Apostelkirche,conventual,51.96465576,7.627684726,1250
121753652,Église Saint-Just,parish,46.90230538,5.771531583,1100
122211784,Santa Maria delle Grazie al Calcinaio,parish,43.27026417,11.98660402,1485
122321225,Cathédrale Notre-Dame-de-la-Sède,cathedral,43.233818,0.0689254662362214,1100
122385636,Bamberger Dom,cathedral,49.89070633,10.88250357,950
122461944,St. Emmeran,parish,50.00024323,8.268213748,800
122464558,Pro-cathédrale Sainte-Marie de Bastia,parish,42.69235485,9.451711342,1495
122630414,Cattedrale di San Lorenzo,cathedral,43.1124587,12.38895703,800
122705551,Santuario Madonna delle Grazie,conventual,42.65693499,13.7117956,1100
122951323,Abbazia di San Savino,conventual,43.69448201,10.46091358,1122
122963490,St. Mauritz,conventual,51.96268533,7.649183165,1080
122982019,Cattedrale di Santa Maria Assunta (Duomo),cathedral,40.85264368,14.25983409,500
123122218,Basilica di San Lorenzo Maggiore,conventual,40.8509271,14.25805535,1270
123379240,Basilica di Santa Margherita,conventual,43.27647753,11.9923375,1298
123396172,Église Saint-Saturnin,parish,47.58206549,1.337911329,800
123437318,Pfarrkirche Sankt Marien,parish,52.92643205,12.80839672,1250
124180040,Église abbatiale Saint-Philibert,conventual,46.56584176,4.909008688,870
124226786,Cathédrale Saint-Lazare,cathedral,46.94502232,4.299053925,700
124564898,Collégiale Saint-Martin,other,45.15876667,1.533201364,700
124614369,st etienne,parish,46.0397,4.071535,1343
124791699,Église Saint-Léonard,parish,48.42775014,0.0843775987779738,1490
124813346,Basilica di Santa Maria di Collemaggio,parish,42.34267813,13.40475946,1287
124979083,Basilique Notre-Dame d'Alençon,conventual,48.42978911,0.0890260387924836,1000
125104037,Église Saint-Pierre-aux-Liens,parish,45.77321327,4.808544983,1000
12540811,Dom,conventual,50.55606788,8.502100059,700
125420903,Dom St. Martin,parish,48.47739366,8.93419245,1270
125956113,The Temple Church,conventual,51.45209657,-2.58668472,1125
126156165,Église Saint-Étienne,parish,46.99179462,3.164483967,1063
126333518,Église Saint-Marcel,conventual,46.77532147,4.888364876,700
126529541,Jesuitenkirche,conventual,49.75355619,6.640717858,1240
126616528,Chiesa di Santa Maria di Monteluce,conventual,43.11453765,12.40004152,1200
126627387,Cattedrale di Santa Maria Assunta,cathedral,44.90071075,8.197932951,500
126911103,Église de la Trinité,conventual,47.47502558,-0.561060569452534,1180
126913675,Église Saint-Serge,conventual,47.47650672,-0.546367229488311,700
126915366,Cathédrale Saint-Maurice,cathedral,47.47055695,-0.554948309025218,700
126917283,Tempio di Sant'Angelo,parish,43.12006592,12.38531672,1300
126919729,Église Saint-Laud,other,47.46727686,-0.559600773444136,1104
1270298,Cathédrale Saint-Véran,cathedral,43.83619958,5.036320518,1000
127045854,Stadtkirche St. Wenzel,parish,51.15179237,11.80962593,1426
127284631,Chiesa di San Paolo a Ripa d'Arno,parish,43.7128832,10.39361904,925
127505742,San Pietro fuori le mura,parish,42.72685481,12.73790375,1080
127518429,Co-cathédrale Notre-Dame-de-l'Annonciation,parish,46.20574567,5.227317113,1100
127522925,Cathédrale-Basilique Saint-Cyr et Sainte-Julitte,cathedral,46.98716934,3.157253339,700
127582555,Collegiata di San Secondo,parish,44.89932895,8.205277412,800
127803227,Église Saint-Jacques,parish,44.01753301,1.352996142,1200
128192398,St. Afra Kirche,parish,51.1643602,13.46807957,984
128816013,Hôtel-Dieu Saint-Nicolas,other,49.41848591,2.822828451,1201
128914739,Cathedral Church of St Machar,cathedral,57.16982044,-2.102380828,1130
129405232,Chiesa di Santa Maria di Castello,parish,44.40557832,8.929224294,660
129510589,Cattedrale di Santa Maria Assunta,cathedral,43.9109391,12.91468331,600
129811761,Oberkirche Sankt Nikolai zu Cottbus,parish,51.7611956,14.33669661,1100
129940725,Saint-Jean Baptiste,parish,43.1910372,6.040311679,1100
130189168,Église Saint-Paul,conventual,43.80638509,4.645105369,1100
130237098,Basilique Saint-Quentin,other,49.84782181,3.290180343,1120
130311744,Église Saint-Pierre,cathedral,49.14654584,0.226886638440973,700
130319372,Église Saint-Jacques,parish,49.14476719,0.229361542091299,1496
130385489,Ehemalige Abtei Sankt Maximin,conventual,49.75962207,6.651863714,700
130432939,Sankt Sebastian,parish,49.46416526,8.429346833,1100
130451079,Eton College Chapel,other,51.49155854,-0.6087451,1440
130823172,Cathédrale Saint-Jean-Baptiste,cathedral,44.12355984,4.076632304,1100
131469570,Collégiale Notre-Dame-des-Marais,other,45.98882198,4.718967694,1100
131506189,Sankt Stephan,conventual,49.78953044,9.934787717,1000
131564482,Basilica di Santa Maria Maggiore,parish,41.89759347,12.49845407,400
131605938,Stiftskirche,conventual,47.42311227,9.376716152,700
131609342,St. Laurenzen,parish,47.42437029,9.377070317,1100
131798543,Abbazia di Santa Giustina,conventual,45.39627376,11.87962268,510
131841891,Église prieurale Sainte-Croix-Notre-Dame,conventual,47.17761787,3.017444266,1052
131965833,Chiesa di San Benedetto Vecchio,conventual,45.40962325,11.86699423,1195
131977001,Duomo di Padova,cathedral,45.40652559,11.87127537,300
131987808,Chiesa di San Francesco,conventual,45.40485109,11.88058635,1414
131987848,Chiesa di Santa Maria dei Servi,conventual,45.40458203,11.87566517,1372
131987906,Santuario dell'Arcella,conventual,45.42162014,11.88652226,1230
131997423,Santa Sofia,parish,45.4072909,11.88480262,800
131997783,Basilica del Carmine,parish,45.41317594,11.87410042,1300
132077614,Cattedrale dei Santi Pietro e Marco,cathedral,44.91196901,8.618487006,1170
132132649,Cathédrale Notre-Dame-de-l'Assomption,cathedral,49.27554097,-0.703521388853762,700
132183343,Collégiale Notre-Dame-en-Vaux,other,48.95763574,4.363626206,700
132407394,Collégiale Notre Dame de Huy,other,50.51878587,5.238310716,700
132832066,Auditorium San Barnaba,conventual,45.53568728,10.2262181,1299
133271301,Cathédrale Saint-Nazaire,cathedral,43.34138524,3.209962599,700
133271309,Église Saint-Aphrodise,parish,43.34707388,3.214868817,1150
133271313,Église Sainte-Madeleine,parish,43.34494094,3.212996172,1080
133498284,Duomo di Santa Maria Assunta,cathedral,43.72494534,12.63640483,1021
133535018,St. Stephani,parish,51.11098395,10.64509705,1100
133736671,Church of Saint Peter,parish,50.90551821,-3.488821714,1100
133776910,Cattedrale di San Florido,cathedral,43.45669598,12.23811913,600
13431536,Cathédrale Saints-Michel-et-Gudule - Sint-Michiels-en-Goedelekathedraal,other,50.84783312,4.360094242,1000
134989570,St. Leodegar im Hof (Hofkirche),convent,47.05560876,8.314104399,735
135189103,Basilica di San Pancrazio,parish,41.88494702,12.45395463,500
135524253,Église Notre-Dame du Cap Lihou,parish,48.83673285,-1.605029241,1100
135776766,St.-Aegidien-Kirche,parish,53.86395545,10.68975812,1172
135880564,Musée archéologique Saint-Pierre de Vienne,conventual,45.52286924,4.871031088,700
135907202,Sint-Jacobskerk,parish,51.21056455,3.220633639,1201
135938053,Église Saint-Étienne,parish,49.7582221,0.376311387562549,1000
135938363,Abbatiale de la Sainte-Trinité,conventual,49.75536054,0.381401673495351,700
136141759,Wigan Parish Church,parish,53.54597835,-2.632788155,1400
136200148,Primatiale Saint-Jean,cathedral,45.7607184,4.827431529,700
136513654,St. Matthias,conventual,49.73816411,6.632442201,700
136635321,Église Saint-Eutrope,parish,45.74341198,-0.641325300828731,1081
136636672,Cathédrale Saint-Pierre,cathedral,45.74452141,-0.632007430930527,700
136677965,st vaast,parish,50.53216,2.638217,700
136706450,Onze-Lieve-Vrouw,parish,51.01222899,2.605936924,1450
136770674,Église Sainte-Catherine,parish,49.42115567,0.232552162379627,1455
137278969,Santi Luca e Martina al Foro Romano,parish,41.89316696,12.48506894,625
137471020,Chiesa di San Francesco,conventual,42.35149167,14.1683773,900
137472252,Basler Münster,cathedral,47.5564303,7.592304144,700
137733113,Saint Peter Mancroft,parish,52.62775409,1.292608788,1075
137804516,Cattedrale di Santa Maria Assunta,cathedral,45.46809336,7.87527621,400
138721646,ex chiesa e monastero di San Bartolomeo,conventual,45.5573475,11.5448866,1100
138753947,Duomo Antico,cathedral,38.23066198,15.24220669,331
138797081,Chiesa dei Santi Francesco e Giustina,parish,45.07094152,11.79397507,1297
138800353,Chiesa di San Salvador,parish,45.43668823,12.33656392,1141
138800730,Basilica di San Pietro di Castello,parish,45.43454543,12.35987536,600
138800932,Basilica di San Marco,cathedral,45.4345513,12.33981336,828
138801674,Chiesa dei Santi Apostoli,parish,45.44050651,12.33673589,800
138803921,Chiesa di Santa Maria Assunta,conventual,45.44334235,12.33914868,1150
138804512,Chiesa di Santa Maria Formosa,parish,45.43702115,12.3410162,600
138804531,San Francesco della Vigna,conventual,45.43821627,12.34797452,1253
138804537,Basilica di San Giorgio Maggiore,conventual,45.42938726,12.34331255,700
138806296,Duomo di Rovigo,cathedral,45.06941753,11.78923272,920
138809135,Cattedrale di Santa Maria Matricolare,cathedral,45.44723792,10.99701725,500
138815134,Chiesa di Sant'Eufemia,parish,45.44330417,10.99381777,1000
138841819,Basilica di Santa Maria Gloriosa dei Frari,conventual,45.43685867,12.3263645,1250
138841862,San Nicolo,parish,45.43253308,12.31593927,600
138842011,Chiesa di San Polo,parish,45.43716263,12.32966454,800
138842015,San Pantalon,parish,45.43569108,12.32474731,1009
138842928,Chiesa di Santo Stefano,conventual,45.4336281,12.33111566,1294
138843126,San Raffaele Arcangelo,parish,45.4324477,12.31900295,600
138843633,Chiesa di San Geremia,parish,45.44265544,12.32533022,1174
138843914,Santa Maria dei Carmini,conventual,45.43337351,12.32230411,1300
138894828,Cattedrale di Santa Maria Annunciata,cathedral,45.54632606,11.54391655,315
138919458,Chiesa di Sant'Anastasia,parish,45.44530522,11.00006877,450
139240553,Kloosterkerk,conventual,52.0819646,4.30958705,1397
139350629,Collégiale Saint-Vulfran,other,50.10476817,1.83190133,1100
139350654,Église Saint-Jacques,parish,50.10851291,1.828268284,1100
139355071,Église du Saint-Sepulcre,other,50.10909463,1.837521577,1050
139363510,Église Saint-Gilles,parish,50.10115654,1.839879789,1100
139460727,St. Sebald,parish,49.45526784,11.07643891,1100
139708537,Propsteikirche St. Johannes Baptist,conventual,51.51360245,7.462755357,1331
139900092,San Crisogono,parish,41.88910874,12.47350086,440
139906286,Eglise Saint-Pons,conventual,43.72506336,7.283564626,775
140031952,Basilica di San Marco,parish,41.89602911,12.48154843,337
140234638,Cattedrale di San Romolo,cathedral,43.80722559,11.29256965,1028
140247206,Église Saint-Rémi,conventual,49.89193252,2.296516768,1300
140375291,Sint-Gummaruskerk,parish,51.13002515,4.574555622,1377
140546672,Croydon Minster,parish,51.37269828,-0.105889217409627,900
141045626,Schloß- und Stiftskirche St. Michael,parish,48.89237611,8.703414602,1000
141519199,Chiesa di Sant'Ambrogio,parish,45.5564852,9.215080049,1480
141792836,St.-Jakobs-Kirche,parish,49.37790137,10.17768966,1311
142022168,San Michele in Isola,conventual,45.449081,12.34702327,900
142022351,Chiesa di San Pietro Martire,conventual,45.45505613,12.35259624,1300
142023249,Basilica dei Santi Maria e Donato,parish,45.45748956,12.35716666,600
142250622,église Saint-Pierre,parish,49.20638385,2.58786271,800
142251606,Cathédrale de l'Assomption de Notre-Dame,cathedral,49.20682164,2.586034683,1151
142378731,Madonna dell'Orto,conventual,45.44653245,12.33260068,1377
142664278,Sint-Maartenskerk,parish,50.85187433,2.885054409,900
142805303,San Tomaso Cantuariense,parish,45.44220798,11.00304303,1316
142944360,Evangelisch-lutherische Hauptkirche St. Jacobi,parish,53.5503691,10.00073667,1200
143090560,Evangelische Stadtkirche,conventual,47.78049311,9.612942551,1320
143095622,Liebfrauenkirche,parish,47.78296072,9.614967126,1250
143255838,Marienkirche,parish,53.85591826,13.68471119,1100
143255843,Nikolaikirche,parish,53.85648329,13.68953756,1150
14349317,Église Saint-Lambert de Vaugirard,conventual,48.83963285,2.298278451,1342
143572151,Église Notre-Dame-de-la-Couture,conventual,48.00220587,0.200200802514275,700
143609930,Église Saint-Nicolas,conventual,50.6412172,5.584612204,1030
143740354,Chiesa di San Matteo al Cassaro,conventual,38.11644853,13.36255457,1088
143821809,Basilica Santa Maria delle Vigne,parish,44.40959824,8.931506317,500
144127139,st marienberg,conventual,52.22992328,11.00030527,1175
144127897,St. Stephani,parish,52.22592946,11.01264433,1125
144278109,Cathédrale Notre-Dame et Saint-Vaast,cathedral,50.29295344,2.77484334,700
144305181,Église Saint-Jean-Baptiste,parish,50.28999168,2.779766566,1100
144371662,Dom St. Marien,parish,50.92013515,13.34376922,1180
144658381,Basilica San Giuseppe da Copertino,conventual,43.48650972,13.48350875,1220
144721691,St. Lorenz,parish,49.45099661,11.07865713,1250
144832880,Mindener Dom,cathedral,52.28884919,8.919206296,820
144977408,Chiesa parrocchiale di Santa Maria Assunta,parish,45.57280826,8.067399268,1100
145013486,Église Saint-Laurent,parish,48.9038077,6.054254497,1230
145033767,Église Saint-Martin,conventual,48.90545212,6.058831457,1280
145197217,Église Saint-Patern,parish,47.65944436,-2.754023389,800
145226867,Klosterkirche St. Trinitas,conventual,52.92257003,12.80979687,1225
145372160,Cathédrale Sainte-Marie-de-la-Seds,parish,43.1216675,5.93406176,1000
145633296,Cathedral Church of Saint Nicholas,parish,54.97008549,-1.611196244,1091
145712705,Collégiale Saint-Junien,other,45.88737082,0.902452106203589,700
146222634,Sint-Nicolaas,parish,51.1644354,4.142247628,1217
146370501,Michaeliskirche,parish,50.32187804,11.91992381,1230
146482614,"""""Dom \Zum Heiligen Kreuz\""""""""""""",conventual,51.503953,10.79012483,960
146670643,Cathédrale Notre-Dame,cathedral,49.56436229,3.625017193,700
146670647,Église Saint-Martin,conventual,49.56261649,3.611965321,1150
146763718,Cathédrale Notre-Dame,cathedral,43.70846093,-1.052983623,1000
147370166,Église Saint-Martin,parish,47.46001323,3.519240109,1215
147457637,Église Notre-Dame,parish,49.52458367,3.663947392,700
147917758,Marienkirche,parish,52.16192,10.53739,1200
147939787,Chiesa della Madonna della Pietà,parish,40.61806676,15.05779814,1000
147948119,Église Saint-Armel,parish,47.93204505,-2.398110557,1400
148460207,Stadtkirche St. Peter und Paul,parish,50.98123388,11.32924172,1245
149363063,Église Saint-Jacques,parish,49.92556349,1.078438018,1250
149498084,Salisbury Cathedral,cathedral,51.06474973,-1.797496434,1220
149647393,Santa Maria dei Servi,conventual,44.49161728,11.35262661,1346
149675315,Cattedrale di Santa Maria Assunta,cathedral,42.73526978,12.74037102,800
149902656,Cattedrale di San Cassiano Martire,cathedral,44.35349623,11.7110915,1188
149979063,Basilica di Sant'Antonio,conventual,40.74718064,14.64588568,1256
150236811,Chiesa dei Santi Ciro e Giovanni,parish,40.66136757,14.4249881,1100
150339408,Sint-Pieterskerk,parish,50.84703717,2.889707229,1201
150339409,Sint-Jacobskerk,parish,50.85022735,2.890500728,1100
151347628,Basilica di San Domenico Maggiore,conventual,40.84886028,14.25426479,900
151590350,Chiesa San Domenico,conventual,42.40346546,12.85603777,1266
151920334,Cattedrale di San Pietro Apostolo,cathedral,44.28582573,11.88447447,1000
151930483,Cathédrale Saint-Jean-Baptiste,cathedral,43.70037984,-0.262054284491455,700
151931105,Chiesa di Santa Maria Foris Portam,conventual,44.28492194,11.87589061,500
151934984,Église Sainte-Quitterie,conventual,43.69721541,-0.268549862064937,700
151949049,Collégiale Saint-Anatoile,other,46.93575672,5.879258556,1020
151954973,Basilique Notre-Dame,parish,48.30418902,-0.617650941831946,1100
151964380,Église Saint-Martin,conventual,48.30176972,-0.615080250922575,800
152473826,All Saints' Church,parish,51.27071989,0.521616337023838,1395
152568473,Église Saint-Pierre,parish,47.25863769,-0.0742893110818262,1150
152568484,Église Notre-Dame de Nantilly,parish,47.25318022,-0.0764202381444425,840
153199016,Chiesa Cattedrale di Cesena,cathedral,44.1374291,12.24544288,900
153483298,Basilica dei santi Giovanni e Paolo,conventual,45.43926633,12.34221709,1250
153895913,Église Notre-Dame,other,49.11538417,-1.094169387,1201
153939098,Église Sainte-Croix,conventual,49.11635424,-1.085132214,1300
15425987,Holy Trinity Church,parish,53.74179596,-0.334329139887691,1300
154348638,St. Margaret,parish,48.52367416,12.14441679,1400
154620108,Église Saint-Pierre,parish,49.18400716,-0.360723619599026,1000
154853572,Basilique Saint-Seurin,conventual,44.84324351,-0.585614893568894,700
155326066,Onze-Lieve-Vrouwebasiliek,other,50.78096626,5.464935635,650
155551498,Hoher Dom St. Martin,cathedral,49.99889863,8.273938864,975
155629129,Abbatiale Saint-Etienne,conventual,49.18179979,-0.372733520489711,1060
155629614,Saint-Étienne le Vieux,conventual,49.18125282,-0.369256018901651,950
