PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing
6811,HAM,"6,3",`Chuteley',Bighton,,,SU6134,,51.102061,-1.130146,461000.0,134000.0
6851,HAM,"NF8,1",Boldre,{Bile},,,,unknown,,,,
7036,HAM,"3,9",Droxford,`Binstead',,,SU6015,,50.931332,-1.147565,460000.0,115000.0
7041,HAM,"IoW6,17",Bowcombe,Binstead,Isle of Wight,,SZ5792,,50.724823,-1.193822,457000.0,92000.0
7046,HAM,"23,56",Neatham,Binsted,,,SU7741,,51.163073,-0.900176,477000.0,141000.0
7251,HAM,"2,6",Fawley,[Bishop]stoke,,,SU4619,,50.968581,-1.346266,446000.0,119000.0
7316,HAM,"NF9,38",Ringwood,Bisterne,,,SU1500,,50.799359,-1.788515,415000.0,100000.0
7776,HAM,"3,23. 21,1. 23,33",Portsdown,Boarhunt and [North] Boarhunt,,,,,,,,
7961,HAM,"NF9,16",Boldre,Bolderford,,,SU2904,,50.834801,-1.589548,429000.0,104000.0
7966,HAM,"NF9,19",Boldre,Boldre,,,SZ3198,,50.780743,-1.561653,431000.0,98000.0
8091,HAM,"IoW7,1",Bowcombe,Bonchurch and [Upper] Bonchurch,Isle of Wight,,,,,,,
8236,HAM,"IoW7,8",Bowcombe,Borthwood,Isle of Wight,,SZ5784,,50.652888,-1.195054,457000.0,84000.0
8261,HAM,"5,1",Bosham,Bosham,,,SU8004,,50.830008,-0.865419,480000.0,104000.0
8281,HAM,"17,2",`Edgegate',Bosley,,,SZ1494,,50.745429,-1.802931,414000.0,94000.0
8301,HAM,"28,5",Broughton,Bossington,,,SU3330,,51.068382,-1.530395,433000.0,130000.0
8356,HAM,"29,6",Mansbridge,Botley,,,SU5113,,50.91421,-1.275903,451000.0,113000.0
8541,HAM,"IoW1,7. EW1",Bowcombe,Bowcombe,Isle of Wight,,SZ4686,,50.671844,-1.350396,446000.0,86000.0
8681,HAM,"58,1",Mansbridge,Boyatt,,,SU4520,,50.977651,-1.360383,445000.0,120000.0
8941,HAM,"IoW7,7",Bowcombe,Brading,Isle of Wight,,SZ6087,,50.679563,-1.152136,460000.0,87000.0
8966,HAM,"2,10",Overton,Bradley,,,SU6341,,51.164784,-1.100363,463000.0,141000.0
9146,HAM,"68,7. 69,3",`Ashley',Bramdean,,,SU6127,,51.039122,-1.131325,461000.0,127000.0
9196,HAM,"23,5",Basingstoke,Bramley,,,SU6458,,51.317518,-1.083026,464000.0,158000.0
9301,HAM,"23,37. 43,4",Holdshott,Bramshill,,,SU7461,,51.343278,-0.938939,474000.0,161000.0
9306,HAM,"27,1",Neatham,Bramshott,,,SU8432,,51.081176,-0.802182,484000.0,132000.0
9376,HAM,"3,15",Barton,Bransbury,,,SU4242,,51.175697,-1.40056,442000.0,142000.0
9416,HAM,"IoW7,8",Bowcombe,Branstone,Isle of Wight,,SZ5583,,50.644088,-1.223491,455000.0,83000.0
9596,HAM,"1,37",Fordingbridge,Breamore,,,SU1518,,50.961225,-1.787781,415000.0,118000.0
9826,HAM,"IoW7,4",Bowcombe,Briddlesford,Isle of Wight,,SZ5490,,50.707125,-1.236613,454000.0,90000.0
10221,HAM,"69,40",`Brightford',Broadwater,,,TQ1504,,50.824122,-0.368624,515000.0,104000.0
10301,HAM,"NF9,44",Boldre,Brockenhurst,,,SU3002,,50.816765,-1.575511,430000.0,102000.0
10316,HAM,"3,26. 23,35",`Bosbarrow',Brockhampton,,,SU7005,,50.840293,-1.007198,470000.0,105000.0
10571,HAM,"IoW1,1",Bowcombe,Brook,Isle of Wight,,SZ3883,,50.645443,-1.463908,438000.0,83000.0
10591,HAM,"NF9,30",Boldre,Brookley,,,SU2902,,50.816816,-1.589706,429000.0,102000.0
10706,HAM,"1,21(-23);37. 4,1",Broughton,Broughton,,,SU3032,,51.08653,-1.573043,430000.0,132000.0
10836,HAM,"2,24",Titchfield,Brownwich,,,SU5103,,50.824292,-1.277297,451000.0,103000.0
10851,HAM,"63,1",Neatham,`Broxhead',,,SU8037,,51.1267,-0.858168,480000.0,137000.0
11028,HAM,"NF9,3",Redbridge,`Buckholt',,,,,,,,
11071,HAM,"23,32",Portsdown,Buckland,,,SU6501,,50.804909,-1.078908,465000.0,101000.0
11361,HAM,"16,6",{Welford},[Lower and Upper] Bullington,,,,,,,,
11516,HAM,"1,37-38. 69,35",Fordingbridge,[Lower and Upper] Burgate,,,,,,,,
11661,HAM,"(1,30) and note",Ringwood,Burley,,,SU2103,,50.826153,-1.703208,421000.0,103000.0
12546,HAM,"IoW2,1. IoW6,6",Calbourne,Calbourne,Isle of Wight,,SZ4286,,50.672146,-1.406998,442000.0,86000.0
12886,HAM,"6,13",`Mainsborough',[Brown] Candover,,,SU5739,,51.147429,-1.186479,457000.0,139000.0
12891,HAM,"2,19",`Mainsborough',[Chilton] Candover,,,SU5940,,51.156218,-1.157726,459000.0,140000.0
12896,HAM,"21,2. 23,30. 29,13. 35,7. 69,6;8",Bermondspit,[Preston] Candover,,,SU6041,,51.165106,-1.143262,460000.0,141000.0
12951,HAM,"NF10,4",Fordingbridge,Canterton and [Upper] Canterton,,,,,,,,
13876,HAM,"IoW9,7",Bowcombe,`Chalcroft',Isle of Wight,,SZ6087,approximate,50.679563,-1.152136,460000.0,87000.0
13896,HAM,"IoW6,1. IoW9,19",Bowcombe,Chale,Isle of Wight,,SZ4877,,50.590753,-1.323258,448000.0,77000.0
13971,HAM,"1,13. 21,6-7;10",Chalton,Chalton,,,SU7315,,50.929834,-0.962603,473000.0,115000.0
