PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing,start_date,end_date
196,CHS,"8,16. S1,1",{Warmundestrou},Acton,,,SJ6253,,53.072888,-2.568625,362000.0,353000.0,1066,1086
201,DOR,"55,41",Ailwood,Acton,,,SY9878,,50.601705,-2.029614,398000.0,78000.0,1066,1086
206,SUF,"34,2",Babergh,Acton,,,TL8945,,52.071122,0.756241,589000.0,245000.0,1066,1086
211,HEF,EW1,`Doddingtree',Acton [Beauchamp],,,SO6750,,52.147305,-2.483681,367000.0,250000.0,1066,1086
216,WOR,"11,1",`Doddingtree',Acton [Beauchamp],,,SO6750,,52.147305,-2.483681,367000.0,250000.0,1066,1086
221,SHR,"4,4,3",Condover,Acton [Burnell],,,SJ5302,,52.613743,-2.695576,353000.0,302000.0,1066,1086
226,GLS,"6,1",Bagstone,`Acton [Ilger]',,,ST6784,,51.553913,-2.47736,367000.0,184000.0,1066,1086
231,GLS,"69,6-7",Bagstone,[Iron] Acton,,,ST6784,,51.553913,-2.47736,367000.0,184000.0,1066,1086
236,SHR,"4,3,18",Condover,Acton [Pigott],,,SJ5402,,52.613829,-2.680808,354000.0,302000.0,1066,1086
241,SHR,"4,3,59",Baschurch,Acton [Reynald],,,SJ5323,,52.802511,-2.698584,353000.0,323000.0,1066,1086
246,SHR,"4,3,6",Patton,Acton [Round],,,SO6395,,52.551593,-2.547109,363000.0,295000.0,1066,1086
251,SHR,"4,27,33",Leintwardine,Acton [Scott],,,SO4589,,52.496134,-2.811557,345000.0,289000.0,1066,1086
256,STS,"2,3",Cuttlestone,Acton [Trussell],,,SJ9318,,52.759575,-2.105163,393000.0,318000.0,1066,1086
261,GLS,"60,6",{Grimboldestou},Acton [Turville],,,ST8080,,51.518561,-2.28963,380000.0,180000.0,1066,1086
266,STS,"2,20",Pirehill,Adbaston,,,SJ7627,,52.839986,-2.357736,376000.0,327000.0,1066,1086
271,DOR,ES4;7;9,Horethorne,Adber,,,ST5920,,50.977934,-2.585382,359000.0,120000.0,1066,1086
276,SOM,"19,74. 24,37. 47,11",Horethorne,Adber,,,ST5920,,50.977934,-2.585382,359000.0,120000.0,1066,1086
281,NTT,"10,12;56",Rushcliffe,Adbolton,,,SK6038,,52.936074,-1.108728,460000.0,338000.0,1066,1086
286,OXF,"1,7a. 3,2. 27,6",Bloxham,Adderbury,,,SP4635,,52.011541,-1.331179,446000.0,235000.0,1066,1086
291,SHR,"4,24,1",Hodnet,Adderley,,,SJ6639,,52.947314,-2.507446,366000.0,339000.0,1066,1086
296,WIL,"10,4",`Dolesfield',Addestone,,,SU0643,,51.186192,-1.915523,406000.0,143000.0,1066,1086
301,YKS,"1W46 and note. 21W5. SW,Bu32",`Burghshire',Addingham,West Riding,,SE0849,,53.937072,-1.879633,408000.0,449000.0,1066,1086
306,YKS,"1W73. SW,Cr3",Craven,Addingham,West Riding,,SE0849,,53.937072,-1.879633,408000.0,449000.0,1066,1086
