"","id","morph","azimuth","area","trait_1","trait_2","trait_3","trait_4","trait_5","trait_6","trait_7","trait_8","name","date","dating_notes","xlong","ylat","date_type","xeast","ynorth","date_emp","model_age_mean","model_age_sd"
"679",154,"horseshoe_east",90,2542.737445,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Kroes Trâpeang Chhouk Toch",910.6558,"Date derived through multiple linear regression (Klassen et al. 2018).",103.90018,13.50005,"regression",380976.4,1492693,NA,918.131727231918,138.993726417858
"680",219,"horseshoe_east",81.54504,2543.253851,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Unknown",1087.121,"Date derived through multiple linear regression (Klassen et al. 2018).",103.64745,13.47917,"regression",353604.9,1490526,NA,918.269605628169,138.981363511575
"681",609,"square",97.007286,2544.673878,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"Tuol Kouk Roka",901,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",104.02137,13.35369,"graphbased",394006.1,1476460,NA,971.518871504644,169.221753819745
"682",201,"horseshoe_east",75.395557,2547.915415,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Spean O Tlok",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.76807,13.48604,"regression",366659.3,1491222,NA,940.914540284651,140.631496514928
"683",557,"square",90,2551.797278,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kouk Ta Song",1021.586,"Date derived through multiple linear regression (Klassen et al. 2018).",103.82863,13.4955,"regression",NA,NA,NA,919.322942966584,139.73935238788
"684",189,"horseshoe_east",86.941305,2552.038489,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Thnâl Svay (Pr.)",985,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.8037,13.50311,"graphbased",370526.5,1493090,NA,961.316699307358,140.683658601825
"685",1359,"square",90,2555.089007,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"Unknown",901,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.65777,13.53818,"graphbased",NA,NA,NA,973.902414237824,168.121001457319
"686",649,"square",90.743943,2555.449525,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kôk Ta Kuong",865.0443,"Date derived through multiple linear regression (Klassen et al. 2018).",103.84282,13.36049,"regression",374695,1477288,NA,1031.6196120964,142.693387251147
"687",316,"horseshoe_east",88.492594,2569.95615,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Tuol Trâpeang Lboeuk",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",104.0162,13.4876,"regression",393521.6,1491309,NA,939.204570344306,140.146027363622
"688",68,"square",73.206099,2573.766973,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kouk Yeay Seav (Pr.)",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.80915,13.57622,"regression",371155.9,1501174,NA,926.924236832291,140.398996299982
